H2 Hydrogen
H2O Water
Li Lithium
Li2O Lithium_Oxide
LiOH Lithium_Hydroxide
sLiOH Solid_Lithium_Hydroxide
aqLiOH Aqueous_Lithium_Hydroxide
LiH Lithium_Hydride
LiF Lithium_Fluoride
LiFO Lithium_Hypofluorite
LiCl Lithium_Chloride
LiClO Lithium_Hypochlorite
LiBr Lithium_Bromide
LiBrO Lithium_Hypobromite
LiI Lithium_Iodide
LiIO Lithium_Hypoiodite
Li2S Lithium_Sulfide
Li2SO3 Lithium_Sulfite
Li2SO4 Lithium_Sulfate
LiNO3 Lithium_Nitrate
Li3PO4 Lithium_Phosphate
Li2CO3 Lithium_Carbonate
LiAlO2 Lithium_Aluminate
Li2ZnO2 Lithium_Zincate
Li3[Al(OH)6] Lithium_Hexahydroxyaluminate(III)
Li2[Zn(OH)4] Lithium_Tetrahydroxyzincate(II)
Na Sodium
Na2O Sodium_Oxide
NaOH Sodium_Hydroxide / Caustic_Soda
sNaOH Solid_Sodium_Hydroxide
aqNaOH Aqueous_Sodium_Hydroxide
NaH Sodium_Hydride
NaF Sodium_Fluoride
NaFO Sodium_Hypofluorite
NaCl Sodium_Chloride
NaClO Sodium_Hypochlorite
NaBr Sodium_Bromide
NaBrO Sodium_Hypobromite
NaI Sodium_Iodide
NaIO Sodium_Hypoiodite
Na2S Sodium_Sulfide
Na2SO3 Sodium_Sulfite
Na2SO4 Sodium_Sulfate / Glaubers'_Salt
NaNO3 Sodium_Nitrate
Na3PO4 Sodium_Phosphate
Na2CO3 Sodium_Carbonate / Washing_Soda
NaAlO2 Sodium_Aluminate
Na2ZnO2 Sodium_Zincate
Na3[Al(OH)6] Sodium_Hexahydroxyaluminate(III)
Na2[Zn(OH)4] Sodium_Tetrahydroxyzincate(II)
K Potassium
K2O Potassium_Oxide
KOH Potassium_Hydroxide
sKOH Solid_Potassium_Hydroxide
aqKOH Aqueous_Potassium_Hydroxide
KH Potassium_Hydride
KF Potassium_Fluoride
KFO Potassium_Hypofluorite
KCl Potassium_Chloride
KClO Potassium_Hypochlorite
KBr Potassium_Bromide
KBrO Potassium_Hypobromite
KI Potassium_Iodide
KIO Potassium_Hypoiodite
K2S Potassium_Sulfide
K2SO3 Potassium_Sulfite
K2SO4 Potassium_Sulfate
KNO3 Potassium_Nitrate
K3PO4 Potassium_Phosphate
K2CO3 Potassium_Carbonate / Potash_Ash
KAlO2 Potassium_Aluminate
K2ZnO2 Potassium_Zincate
K3[Al(OH)6] Potassium_Hexahydroxyaluminate(III)
K2[Zn(OH)4] Potassium_Tetrahydroxyzincate(II)
Rb Rubidium
Rb2O Rubidium_Oxide
RbOH Rubidium_Hydroxide
sRbOH Solid_Rubidium_Hydroxide
aqRbOH Aqueous_Rubidium_Hydroxide
RbH Rubidium_Hydride
RbF Rubidium_Fluoride
RbFO Rubidium_Hypofluorite
RbCl Rubidium_Chloride
RbClO Rubidium_Hypochlorite
RbBr Rubidium_Bromide
RbBrO Rubidium_Hypobromite
RbI Rubidium_Iodide
RbIO Rubidium_Hypoiodite
Rb2S Rubidium_Sulfide
Rb2SO3 Rubidium_Sulfite
Rb2SO4 Rubidium_Sulfate
RbNO3 Rubidium_Nitrate
Rb3PO4 Rubidium_Phosphate
Rb2CO3 Rubidium_Carbonate
RbAlO2 Rubidium_Aluminate
Rb2ZnO2 Rubidium_Zincate
Rb3[Al(OH)6] Rubidium_Hexahydroxyaluminate(III)
Rb2[Zn(OH)4] Rubidium_Tetrahydroxyzincate(II)
Cs Caesium
Cs2O Caesium_Oxide
CsOH Caesium_Hydroxide
sCsOH Solid_Caesium_Hydroxide
aqCsOH Aqueous_Caesium_Hydroxide
CsH Caesium_Hydride
CsF Caesium_Fluoride
CsFO Caesium_Hypofluorite
CsCl Caesium_Chloride
CsClO Caesium_Hypochlorite
CsBr Caesium_Bromide
CsBrO Caesium_Hypobromite
CsI Caesium_Iodide
CsIO Caesium_Hypoiodite
Cs2S Caesium_Sulfide
Cs2SO3 Caesium_Sulfite
Cs2SO4 Caesium_Sulfate
CsNO3 Caesium_Nitrate
Cs3PO4 Caesium_Phosphate
Cs2CO3 Caesium_Carbonate
CsAlO2 Caesium_Aluminate
Cs2ZnO2 Caesium_Zincate
Cs3[Al(OH)6] Caesium_Hexahydroxyaluminate(III)
Cs2[Zn(OH)4] Caesium_Tetrahydroxyzincate(II)
Mg Magnesium
MgO Magnesium_Oxide
MgH2 Magnesium_Hydride
Mg(OH)2 Magnesium_Hydroxide
MgF2 Magnesium_Fluoride
MgCl2 Magnesium_Chloride
MgBr2 Magnesium_Bromide
MgI2 Magnesium_Iodide
MgSO3 Magnesium_Sulfite
MgSO4 Magnesium_Sulfate 
Mg(NO3)2 Magnesium_Nitrate
Mg3(PO4)2 Magnesium_Phosphate
MgCO3 Magnesium_Carbonate
Ca Calcium 
CaO Calcium_Oxide / Quick_Lime
CaH2 Calcium_Hydride
Ca(OH)2 Calcium_Hydroxide / Slaked_Lime
CaF2 Calcium_Fluoride
CaCl2 Calcium_Chloride
CaBr2 Calcium_Bromide
CaI2 Calcium_Iodide
CaSO3 Calcium_Sulfite
CaSO4 Calcium_Sulfate / Gypsum
Ca(NO3)2 Calcium_Nitrate
